ICD-10-CM Codes,Description,Tags
A0104,Typhoid arthritis,
A0105,Typhoid osteomyelitis,
A021,Salmonella sepsis,
A0223,Salmonella arthritis,
A0224,Salmonella osteomyelitis,
A065,Amebic lung abscess,
A072,Cryptosporidiosis,
A207,Septicemic plague,
A227,Anthrax sepsis,
A267,Erysipelothrix sepsis,
A310,Pulmonary mycobacterial infection,
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),
A327,Listerial sepsis,
A3681,Diphtheritic cardiomyopathy,
A392,Acute meningococcemia,
A393,Chronic meningococcemia,
A394,"Meningococcemia, unspecified",
A3983,Meningococcal arthritis,
A3984,Postmeningococcal arthritis,
A400,"Sepsis due to streptococcus, group A",
A401,"Sepsis due to streptococcus, group B",
A403,Sepsis due to Streptococcus pneumoniae,
A408,Other streptococcal sepsis,
A409,"Streptococcal sepsis, unspecified",
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,
A411,Sepsis due to other specified staphylococcus,
A412,Sepsis due to unspecified staphylococcus,
A413,Sepsis due to Hemophilus influenzae,
A414,Sepsis due to anaerobes,
A4150,"Gram-negative sepsis, unspecified",
A4151,Sepsis due to Escherichia coli [E. coli],
A4152,Sepsis due to Pseudomonas,
A4153,Sepsis due to Serratia,
A4154,Sepsis due to Acinetobacter baumannii,
A4159,Other Gram-negative sepsis,
A4181,Sepsis due to Enterococcus,
A4189,Other specified sepsis,
A419,"Sepsis, unspecified organism",
A427,Actinomycotic sepsis,
A480,Gas gangrene,
A481,Legionnaires' disease,
A483,Toxic shock syndrome,
A5055,Late congenital syphilitic arthropathy,
A5440,"Gonococcal infection of musculoskeletal system, unspecified",
A5441,Gonococcal spondylopathy,
A5442,Gonococcal arthritis,
A5443,Gonococcal osteomyelitis,
A5449,Gonococcal infection of other musculoskeletal tissue,
A5485,Gonococcal peritonitis,
A5486,Gonococcal sepsis,
A666,Bone and joint lesions of yaws,
A6923,Arthritis due to Lyme disease,
A8100,"Creutzfeldt-Jakob disease, unspecified",
A8101,Variant Creutzfeldt-Jakob disease,
A8109,Other Creutzfeldt-Jakob disease,
A811,Subacute sclerosing panencephalitis,
A812,Progressive multifocal leukoencephalopathy,
A8181,Kuru,
A8182,Gerstmann-Straussler-Scheinker syndrome,
A8183,Fatal familial insomnia,
A8189,Other atypical virus infections of central nervous system,
A819,"Atypical virus infection of central nervous system, unspecified",
B007,Disseminated herpesviral disease,
B0082,Herpes simplex myelitis,
B0112,Varicella myelitis,
B0224,Postherpetic myelitis,
B0682,Rubella arthritis,
B180,Chronic viral hepatitis B with delta-agent,
B181,Chronic viral hepatitis B without delta-agent,
B182,Chronic viral hepatitis C,
B188,Other chronic viral hepatitis,
B189,"Chronic viral hepatitis, unspecified",
B20,Human immunodeficiency virus [HIV] disease,
B250,Cytomegaloviral pneumonitis,
B251,Cytomegaloviral hepatitis,
B252,Cytomegaloviral pancreatitis,
B258,Other cytomegaloviral diseases,
B259,"Cytomegaloviral disease, unspecified",
B2685,Mumps arthritis,
B3324,Viral cardiomyopathy,
B371,Pulmonary candidiasis,
B377,Candidal sepsis,
B377,Candidal sepsis,
B3781,Candidal esophagitis,
B4282,Sporotrichosis arthritis,
B440,Invasive pulmonary aspergillosis,
B441,Other pulmonary aspergillosis,
B442,Tonsillar aspergillosis,
B447,Disseminated aspergillosis,
B4481,Allergic bronchopulmonary aspergillosis,
B4489,Other forms of aspergillosis,
B449,"Aspergillosis, unspecified",
B450,Pulmonary cryptococcosis,
B451,Cerebral cryptococcosis,
B452,Cutaneous cryptococcosis,
B453,Osseous cryptococcosis,
B457,Disseminated cryptococcosis,
B458,Other forms of cryptococcosis,
B459,"Cryptococcosis, unspecified",
B460,Pulmonary mucormycosis,
B461,Rhinocerebral mucormycosis,
B462,Gastrointestinal mucormycosis,
B463,Cutaneous mucormycosis,
B464,Disseminated mucormycosis,
B465,"Mucormycosis, unspecified",
B468,Other zygomycoses,
B469,"Zygomycosis, unspecified",
B484,Penicillosis,
B488,Other specified mycoses,
B582,Toxoplasma meningoencephalitis,
B583,Pulmonary toxoplasmosis,
B59,Pneumocystosis,
B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",
C01,Malignant neoplasm of base of tongue,
C020,Malignant neoplasm of dorsal surface of tongue,
C021,Malignant neoplasm of border of tongue,
C022,Malignant neoplasm of ventral surface of tongue,
C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",
C024,Malignant neoplasm of lingual tonsil,
C028,Malignant neoplasm of overlapping sites of tongue,
C029,"Malignant neoplasm of tongue, unspecified",
C030,Malignant neoplasm of upper gum,
C031,Malignant neoplasm of lower gum,
C039,"Malignant neoplasm of gum, unspecified",
C040,Malignant neoplasm of anterior floor of mouth,
C041,Malignant neoplasm of lateral floor of mouth,
C048,Malignant neoplasm of overlapping sites of floor of mouth,
C049,"Malignant neoplasm of floor of mouth, unspecified",
C050,Malignant neoplasm of hard palate,
C051,Malignant neoplasm of soft palate,
C052,Malignant neoplasm of uvula,
C058,Malignant neoplasm of overlapping sites of palate,
C059,"Malignant neoplasm of palate, unspecified",
C060,Malignant neoplasm of cheek mucosa,
C061,Malignant neoplasm of vestibule of mouth,
C062,Malignant neoplasm of retromolar area,
C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,
C0689,Malignant neoplasm of overlapping sites of other parts of mouth,
C069,"Malignant neoplasm of mouth, unspecified",
C07,Malignant neoplasm of parotid gland,
C080,Malignant neoplasm of submandibular gland,
C081,Malignant neoplasm of sublingual gland,
C089,"Malignant neoplasm of major salivary gland, unspecified",
C090,Malignant neoplasm of tonsillar fossa,
C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),
C098,Malignant neoplasm of overlapping sites of tonsil,
C099,"Malignant neoplasm of tonsil, unspecified",
C100,Malignant neoplasm of vallecula,
C101,Malignant neoplasm of anterior surface of epiglottis,
C102,Malignant neoplasm of lateral wall of oropharynx,
C103,Malignant neoplasm of posterior wall of oropharynx,
C104,Malignant neoplasm of branchial cleft,
C108,Malignant neoplasm of overlapping sites of oropharynx,
C109,"Malignant neoplasm of oropharynx, unspecified",
C110,Malignant neoplasm of superior wall of nasopharynx,
C111,Malignant neoplasm of posterior wall of nasopharynx,
C112,Malignant neoplasm of lateral wall of nasopharynx,
C113,Malignant neoplasm of anterior wall of nasopharynx,
C118,Malignant neoplasm of overlapping sites of nasopharynx,
C119,"Malignant neoplasm of nasopharynx, unspecified",
C12,Malignant neoplasm of pyriform sinus,
C130,Malignant neoplasm of postcricoid region,
C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",
C132,Malignant neoplasm of posterior wall of hypopharynx,
C138,Malignant neoplasm of overlapping sites of hypopharynx,
C139,"Malignant neoplasm of hypopharynx, unspecified",
C140,"Malignant neoplasm of pharynx, unspecified",
C142,Malignant neoplasm of Waldeyer's ring,
C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",
C153,Malignant neoplasm of upper third of esophagus,
C154,Malignant neoplasm of middle third of esophagus,
C155,Malignant neoplasm of lower third of esophagus,
C158,Malignant neoplasm of overlapping sites of esophagus,
C159,"Malignant neoplasm of esophagus, unspecified",
C160,Malignant neoplasm of cardia,
C161,Malignant neoplasm of fundus of stomach,
C162,Malignant neoplasm of body of stomach,
C163,Malignant neoplasm of pyloric antrum,
C164,Malignant neoplasm of pylorus,
C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",
C166,"Malignant neoplasm of greater curvature of stomach, unspecified",
C168,Malignant neoplasm of overlapping sites of stomach,
C169,"Malignant neoplasm of stomach, unspecified",
C170,Malignant neoplasm of duodenum,
C171,Malignant neoplasm of jejunum,
C172,Malignant neoplasm of ileum,
C173,"Meckel's diverticulum, malignant",
C178,Malignant neoplasm of overlapping sites of small intestine,
C179,"Malignant neoplasm of small intestine, unspecified",
C180,Malignant neoplasm of cecum,
C181,Malignant neoplasm of appendix,
C182,Malignant neoplasm of ascending colon,
C183,Malignant neoplasm of hepatic flexure,
C184,Malignant neoplasm of transverse colon,
C185,Malignant neoplasm of splenic flexure,
C186,Malignant neoplasm of descending colon,
C187,Malignant neoplasm of sigmoid colon,
C188,Malignant neoplasm of overlapping sites of colon,
C189,"Malignant neoplasm of colon, unspecified",
C19,Malignant neoplasm of rectosigmoid junction,
C20,Malignant neoplasm of rectum,
C210,"Malignant neoplasm of anus, unspecified",
C211,Malignant neoplasm of anal canal,
C212,Malignant neoplasm of cloacogenic zone,
C218,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",
C220,Liver cell carcinoma,
C221,Intrahepatic bile duct carcinoma,
C222,Hepatoblastoma,
C223,Angiosarcoma of liver,
C224,Other sarcomas of liver,
C227,Other specified carcinomas of liver,
C228,"Malignant neoplasm of liver, primary, unspecified as to type",
C229,"Malignant neoplasm of liver, not specified as primary or secondary",
C23,Malignant neoplasm of gallbladder,
C240,Malignant neoplasm of extrahepatic bile duct,
C241,Malignant neoplasm of ampulla of Vater,
C248,Malignant neoplasm of overlapping sites of biliary tract,
C249,"Malignant neoplasm of biliary tract, unspecified",
C250,Malignant neoplasm of head of pancreas,
C251,Malignant neoplasm of body of pancreas,
C252,Malignant neoplasm of tail of pancreas,
C253,Malignant neoplasm of pancreatic duct,
C254,Malignant neoplasm of endocrine pancreas,
C257,Malignant neoplasm of other parts of pancreas,
C258,Malignant neoplasm of overlapping sites of pancreas,
C259,"Malignant neoplasm of pancreas, unspecified",
C260,"Malignant neoplasm of intestinal tract, part unspecified",
C261,Malignant neoplasm of spleen,
C269,Malignant neoplasm of ill-defined sites within the digestive system,
C300,Malignant neoplasm of nasal cavity,
C301,Malignant neoplasm of middle ear,
C310,Malignant neoplasm of maxillary sinus,
C311,Malignant neoplasm of ethmoidal sinus,
C312,Malignant neoplasm of frontal sinus,
C313,Malignant neoplasm of sphenoid sinus,
C318,Malignant neoplasm of overlapping sites of accessory sinuses,
C319,"Malignant neoplasm of accessory sinus, unspecified",
C320,Malignant neoplasm of glottis,
C321,Malignant neoplasm of supraglottis,
C322,Malignant neoplasm of subglottis,
C323,Malignant neoplasm of laryngeal cartilage,
